Training Statistics for AE_allbus
==================================================

Episode   77: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   77: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   77: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   77: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   78: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   78: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   78: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   78: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   79: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   79: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   79: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   79: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   80: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   80: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode   80: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode   80: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode   81: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
Episode   81: Loss=  0.0007, Violations=   0, Proj=   0, Fallback=   0
Episode   81: Loss=  0.0011, Violations=   0, Proj=   0, Fallback=   0
Episode   81: Loss=  0.0014, Violations=   0, Proj=   0, Fallback=   0
Episode   82: Loss=  0.0019, Violations=   0, Proj=   0, Fallback=   0
Episode   82: Loss=  0.0023, Violations=   0, Proj=   0, Fallback=   0
Episode   82: Loss=  0.0027, Violations=   0, Proj=   0, Fallback=   0
Episode   82: Loss=  0.0030, Violations=   0, Proj=   0, Fallback=   0
Episode   83: Loss=  0.0032, Violations=   0, Proj=   0, Fallback=   0
Episode   83: Loss=  0.0034, Violations=   0, Proj=   0, Fallback=   0
Episode   83: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   83: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
Episode   84: Loss=  0.0036, Violations=   0, Proj=   0, Fallback=   0
